corynactis,hungry_fed,treatment_number,kelp_consumed_square_cm
no,hungry,1,28.414
yes,fed,3,0
no,hungry,1,26.315
yes,hungry,4,7.554
no,fed,2,0
no,hungry,1,14.962
yes,fed,3,6.826
yes,fed,3,6.587
no,fed,2,0
no,hungry,1,25.187
yes,fed,3,0
yes,fed,3,0
no,hungry,1,7.487
yes,hungry,4,18.908
yes,hungry,4,14.76
no,fed,2,0
no,fed,2,0
no,fed,2,0
yes,fed,3,0
no,hungry,1,0
yes,hungry,4,0
yes,fed,3,0
yes,hungry,4,12.156
no,hungry,1,13.308
yes,hungry,4,10.233
no,fed,2,0
no,hungry,1,75.341
yes,hungry,4,16.683
yes,fed,3,0
no,fed,2,0
no,hungry,1,14.385
yes,fed,3,0
yes,fed,3,0
yes,hungry,4,0
no,hungry,1,0
no,fed,2,0
no,hungry,1,17.357
yes,hungry,4,22.302
yes,fed,3,0
no,fed,2,0
no,fed,2,0
yes,hungry,4,44.42
yes,hungry,4,0
no,hungry,1,26.897
no,fed,2,0
no,hungry,1,33.549
yes,fed,3,0
yes,fed,3,0
no,fed,2,0
no,fed,2,0
yes,hungry,4,19.452
yes,hungry,4,18.107
yes,fed,3,0
yes,fed,3,0
no,hungry,1,40.882
no,hungry,1,15.419
no,fed,2,0
no,fed,2,0
yes,fed,3,0
yes,hungry,4,0
yes,fed,3,0
yes,hungry,4,0
no,hungry,1,37.332
no,hungry,1,19.606
